Species,Family,FishGroups,EnglishName,KiswahiliName,Bycatch,Price_KSHPerkg,FunGr_Diet,TrophLevel,SE_TrophLevel,Vulnerability,Lmat_cm,Lopt_cm,Linf_cm,SizeCategory,Diet,Mobility,Active,Schooling,Position,TempPrefMin_degC,TempPrefMean_degC,TempPrefMax_degC,Calcium_mgPer100g,Calicum_L95,Calcium_U95,Iron_mgPer100g,Iron_L95,Iron_U95,Omega3_gPer100g,Omega3_L95,Omega3_U95,Protein_gPer100g,Protein_L95,Protein_U95,VitaminA_ugPer100g,VitaminA_L95,VitaminA_U95,Selenium_ugPer100g,Selenium_L95,Selenium_U95,Zinc_mgPer100g,Zinc_L95,Zinc_U95,Source,Notes
Arothron hispidus,Tetraodontidae,Puffers,White-spotted puffer,NA,Yes,0,Variable,3.099999905,0.3797,34.01,16.47160872,16.99245697,29.0515601,S5,Sessile Inverts,Mob,Day,Sol,Bottom,23.7,27.7,29,55.17200416,18.42081851,114.1493414,0.752153447,0.406269799,1.534296869,0.222709834,0.097610908,0.511909339,17.54644141,15.24115723,19.8264017,45.36977704,10.87158494,166.7019567,36.26723589,15.84850498,88.33068305,1.342311385,0.829182381,2.198302175,Galligan,
Arothron immaculatus,Tetraodontidae,Puffers,Immaculate puffer,NA,Yes,0,NA,2.52,0.2,25.53,16.47160872,16.99245697,29.0515601,S4,Mobile Inverts,Mob,Day,Sol,Bottom,24.3,28.5,29.3,63.62572331,20.55495902,135.2082747,0.896995507,0.484251887,1.787017531,0.210918664,0.089567596,0.485368476,17.2370002,14.88602701,19.54310785,35.43313347,8.563631025,141.3178452,33.74003008,14.76876488,84.35920155,1.600221675,0.978437326,2.644178606,Galligan,
Arothron mappa,Tetraodontidae,Puffers,Map puffer,NA,Yes,0,NA,2.83,0.19,37.48,16.47160872,16.99245697,29.0515601,S5,Mobile Inverts,Mob,Day,Sol,Bottom,25.4,28.5,29.3,33.91125314,12.81969608,70.25549629,0.548279163,0.34441225,1.098000831,0.102232601,0.050152975,0.190187549,18.62015756,16.27133267,20.86938861,26.67991915,7.793526043,86.70768951,41.69809527,21.10317549,86.17284101,1.00207281,0.652061937,1.566414017,Galligan,
Arothron nigropunctatus,Tetraodontidae,Puffers,Black spotted puffer,NA,Yes,0,Predator,3.07,0.34,25.85,16.47160872,16.99245697,29.0515601,S4,Sessile Inverts,Mob,Day,Sol,Bottom,24.7,28.4,29.3,60.07308777,23.57477083,127.3955896,0.650801422,0.40634287,1.297911283,0.124613627,0.064643197,0.230606533,18.78945675,16.51339492,20.99112598,42.86461862,12.9826183,139.2227382,34.64353314,18.01005087,73.56914012,1.10962885,0.723790319,1.696435364,Galligan,
Atule mate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,20.8,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Aulostomus chinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,52.9,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Balistapus undulatus,Balistidae,Triggerfishes,Orangestripped triggerfish,Kikande,Yes,160,Pisc-Macro-Invert,3.369999886,0.4227,29.77,17.91561632,18.05949453,37.4401865,S4,Mobile Inverts,Mob,Day,Sol,Bottom,25.1,28,29.1,58.75386998,22.95836923,124.1349194,0.625708038,0.384924262,1.235589176,0.129204035,0.065269278,0.258013825,18.70242508,16.62217401,20.72615663,54.46822893,16.76335627,174.2234181,32.23361831,16.88617348,67.67946738,1.139735505,0.74101997,1.742373342,Galligan,
Bodianus axillaris,Labridae,Bony Fishes,Axilspot hogfish,Mbono,No,160,Invert-Micro,3.42,0.45,34.69,15.01896242,17.44777162,28.20702692,S3,Mobile Inverts,Mob,Day,Sol,Bottom,24.4,27.5,28.9,69.13424346,42.61155435,130.107935,0.671408849,0.396493475,1.140187397,0.15323575,0.098925829,0.229691924,18.63732355,15.83803779,20.92485923,116.1144687,39.98342388,363.7727344,31.22282555,18.22181754,50.49116524,1.659246196,1.155271148,2.921405174,Galligan,
Brotula multibarbata,Ophidiidae,Catfishes,Reef cusk eel,NA,Yes,NA,Predator,3.91,0.66,57.98,38.2061049,44.3374087,70.07008705,S5,Carnivorous,Sed,Night,Sol,Bottom,13.4,15.9,23,33.35096602,19.39654708,56.70905494,0.415876817,0.247751624,0.683620681,0.099364325,0.059422861,0.171066601,17.33570639,14.80297688,19.96592805,50.15779055,18.75847007,128.1234418,51.63919217,29.74404326,95.86923397,0.949881971,0.664065358,1.315825943,Galligan,
Caesio caerulaurea,Caesionidae,Fusiliers,Scissor-tailed fusilier,Unua,Yes,NA,Invert-Micro,3.4,0.45,25.6,15.29882144,17.59562418,27.1101494,S4,Planktivorous,VMob,Day,LargeG,High,24.7,28,29,51.23559325,32.17970142,95.37893585,0.815475153,0.554177741,1.149347871,0.151174362,0.106602092,0.213874099,19.26442946,18.36149748,20.15205413,72.50107418,31.72196592,165.7870262,39.377287,23.35450305,61.64279993,1.11075654,0.82812692,1.485039032,Galligan,
Caesio xanthonota,Caesionidae,Fusiliers,Yellowtop fusilier,Unua,Yes,NA,Planktivore,3.4,0.45,28.23,15.29882144,17.59562418,27.1101494,S4,Planktivorous,VMob,Day,LargeG,High,26,28,29.3,45.73370075,28.98829102,83.30149282,0.772398748,0.53031129,1.083503071,0.148033951,0.10533105,0.2066836,19.26832345,18.36486857,20.15390457,71.70792619,31.52587375,163.9338915,40.2582397,23.68075214,61.8170961,1.072185034,0.802721664,1.427636855,Galligan,
Calotomus carolinus,Scaridae,Parrotfishes,Stareye parrotfish,Pono,No,120,Browser,2,0,23.62,16.60091758,22.15686906,27.82699181,S5,Herbivorous detritivorous,Mob,Day,Sol,Bottom,24.7,27.5,28.7,32.02084773,13.411684,103.2381361,0.680482555,0.304176344,1.790926462,0.077710602,0.039327352,0.150954056,19.03408102,16.90940883,20.89730539,11.70352465,3.543310947,40.98880298,19.12450342,6.62218597,53.72556993,1.944508667,0.829254234,3.461492498,Galligan,
Cantherhines,Monacanthidae,NA,NA,Matune,Yes,80,NA,NA,NA,NA,134.5035045,133.1634686,213.6567764,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.34895207,14.1851524,150.0593663,1.088014561,0.385189393,3.184635088,0.081695664,0.034332273,0.182544663,18.335217,15.9959352,20.57718972,49.68383287,14.77882496,164.4316281,36.4426834,13.29957824,108.3698421,1.915406354,0.7721797,3.503344054,Galligan,
Cantherhines sandwichiensis,Monacanthidae,NA,NA,Matune,Yes,80,Invert-Micro,2.66,0.21,24.95,10.07722175,10.17007216,17.65566031,S3,Omnivorous,Mob,Day,Sol,Bottom,24.7,27.5,29,37.34895207,14.1851524,150.0593663,1.088014561,0.385189393,3.184635088,0.081695664,0.034332273,0.182544663,18.335217,15.9959352,20.57718972,49.68383287,14.77882496,164.4316281,36.4426834,13.29957824,108.3698421,1.915406354,0.7721797,3.503344054,Galligan,
Carangoides ciliarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,40,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Carangoides ferdau,Carangidae,Jacks,Bar jack,Kolekole,No,NA,Pisc-Macro-Invert,3.98,0.63,43.95,31.08985866,37.17891457,65.33858573,S5,Carnivorous,VMob,Both,MedG,High,24.7,28.1,29.1,28.32561478,12.6907745,66.37383713,1.46984925,0.633349108,3.361813565,0.365764593,0.16207646,0.821213449,19.00971059,16.66076489,20.90526423,125.7708031,12.52803499,1061.822154,10.56035404,3.395651384,25.73578759,0.78233252,0.399940031,1.734769444,Galligan,
Carangoides gymnosthethus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,59.7,92.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Carangoides malabaricus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,23.7,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Caranx sexfasciatus,Carangidae,Bigeye trevally,Jacks,Kambisi,Yes,NA,Pisc-Macro-Invert,3.58,0.49,45.19,31.4250372,36.60311227,69.90273517,S6,Mobile Inverts,VMob,Both,MedG,High,22.3,27.3,28.9,17.20608724,7.17052838,39.08837457,0.378894003,0.19016339,0.761764821,0.290804692,0.134289291,0.632367227,19.11518102,16.90728413,21.49591924,83.89764471,22.56814787,299.345739,49.31889218,18.01184901,137.7337587,0.582310821,0.371171481,0.965248279,Galligan,
Carcharhinus melanopterus,Carcharhinidae,NA,NA,Papa,Yes,NA,Piscivore,4.33,0.67,67.08,134.5035045,133.1634686,213.6567764,NA,NA,NA,NA,NA,NA,23.8,27.4,28.4,8.966579331,1.223378307,35.05424803,0.864816527,0.230832971,2.856289732,0.319614508,0.105165101,0.912302856,21.43983687,18.37795455,23.82514033,37.14767742,8.623773698,147.4595078,16.88940237,3.078538725,56.34314597,0.561520603,0.250573261,1.287249536,Galligan,
Centropyge multispinis,Pomacanthidae,Angelfishes,Many-spined angelfish,NA,No,160,Grazer,2.79,0.31,30.52,22.83675914,27.02332606,38.73366342,S2,Herbivorous detritivorous,Sed,Day,Pair,Bottom,25,28.2,29.2,74.5158713,44.81160704,119.2643507,0.682788862,0.443575501,1.094546023,0.135448055,0.084686905,0.209912505,18.557667,17.45247024,19.67144374,86.86017117,26.08702448,274.4561077,23.6629272,13.04866049,44.27425772,1.51704878,1.006948127,2.253764923,Galligan,
Cephalopholis argus,Serranidae,Groupers,Paecock grouper,Kivungwi,No,200,Predator,4.16,0.73,48.76,19.10630608,21.0684265,33.38670908,S5,Carnivorous,Sed,Both,Sol,Bottom,24.9,28.4,29.3,35.91812654,20.46827278,60.63142322,0.522245572,0.289894682,0.892040419,0.166571835,0.106228714,0.262654815,18.65054251,16.63922207,20.53640488,167.9211986,59.34800473,517.2649741,41.64965728,24.03729545,68.76668695,0.690118359,0.491666309,1.137035888,Galligan,
Cephalopholis boenak,Cephalopholidae,Groupers,Chocolate hind,Tewa chui,No,NA,Predator,3.83,0.61,31.04,17.40455008,19.0056081,30.05109491,S4,Carnivorous,Sed,Both,Sol,Bottom,24.7,28.1,29.1,60.38701194,34.0635737,104.2209801,0.714399676,0.387144798,1.232376905,0.177051265,0.106504467,0.283565597,18.45867719,16.45873274,20.31806386,155.5870747,57.05626888,456.7809348,36.92421623,20.91886366,63.14709013,0.883453999,0.618815093,1.480386277,Galligan,
Cephalopholis spiloparaea,Serranidae,Groupers,Strawberry grouper,Kikokwe,Yes,200,Piscivore,NA,NA,29.46,15.17932733,16.24765353,25.50983264,S4,Carnivorous,Sed,Both,Sol,Bottom,21.2,26,28.1,61.01281777,34.71962194,105.7251453,0.706616044,0.382392573,1.220652276,0.180026738,0.109234408,0.288838163,18.49770677,16.49464301,20.3603081,162.6358354,59.99230801,492.3410488,36.92940192,20.76274541,63.15996327,0.868541791,0.609412158,1.458533199,Galligan,
Cetoscarus bicolor,Scaridae,Parrotfishes,Bicolor parrotfish,Pono,No,120,Grazer,2,0,27.92,31.94926139,45.73324793,57.02586496,S6,Herbivorous detritivorous,Mob,Day,SmallG,Bottom,24.9,27.9,29.1,42.98254851,23.46749112,82.07352636,0.777138282,0.458655858,1.225504282,0.10134611,0.060792627,0.158518449,18.86541953,16.76637306,20.74557856,17.91743904,5.661270273,57.52394641,44.3469031,23.37524331,85.11050578,1.484738013,0.997511182,2.329306205,Galligan,
Chaetodon auriga,Chaetodontidae,Butterflyfishes,Threadfin butterflyfish,Kikorokoro,Yes,80,Invert-Micro,3.130000114,0.4088,11.53,9.133802705,10.04165512,15.47560909,S3,Mobile Inverts,Sed,Day,Pair,Bottom,25.5,28,29,95.73023482,53.55449674,172.6458874,0.821087244,0.506604165,1.508090237,0.146221623,0.089282899,0.241702378,19.45024882,18.37473033,20.55956233,33.4023579,10.06092216,114.3735165,33.80460175,17.01636212,69.17914363,1.183289144,0.777928698,1.794851705,Galligan,
Chaetodon falcula,Chaetodontidae,Butterflyfishes,Threadfin butterflyfish,Kikorokoro,Yes,80,Predator,3.5,0.37,15.01,8.284620221,9.030507901,13.93455139,S3,Mobile Inverts,Sed,Day,SmallG,Bottom,26.2,28.2,29.3,85.47209395,51.5316473,142.479743,0.742437142,0.487600994,1.239865732,0.144493587,0.092809906,0.222831803,19.18577545,18.12785328,20.22284857,50.24712133,16.47434424,152.6541714,29.65148304,16.55945567,55.54692865,1.258978274,0.856097739,1.837016706,Galligan,
Chaetodon kleinii,Chaetodontidae,Butterflyfishes,Klein's butterflyfish,Kitatange,Yes,80,Invert-Micro,3.18,0.43,12.01,8.284620221,9.030507901,13.93455139,S3,Planktivorous,Sed,Day,Pair,Low,24.7,27.8,29,100.620552,60.56772163,171.7902669,0.882179197,0.579422596,1.433302866,0.137839853,0.087688722,0.216373877,18.91440401,17.85213343,20.01206097,40.5527297,13.03921589,131.7647032,28.56681664,15.82031853,54.25994803,1.479467287,0.996851848,2.170921807,Galligan,
Chaetodon lineolatus,Chaetodontidae,Butterflyfishes,Threadfin butterflyfish,Kikorokoro,Yes,80,Predator,3.39,0.55,23.58,8.284620221,9.030507901,13.93455139,S4,Sessile Inverts,Sed,Day,Pair,Bottom,23.7,27.6,28.9,63.31984641,38.88328682,99.52490249,0.663091701,0.443883429,1.076580057,0.133183174,0.089084044,0.197314445,19.19871899,18.14438872,20.19842057,42.03300341,13.764978,123.9562378,32.65538613,18.9957373,58.59656299,1.143571577,0.789318094,1.645059711,Galligan,
Chaetodon lunula,Chaetodontidae,Butterflyfishes,Threadfin butterflyfish,Kikorokoro,Yes,80,Predator,2.99,0.39,15.01,8.284620221,9.030507901,13.93455139,S3,Sessile Inverts,Sed,Both,Pair,Low,23.7,27.7,29,86.95613906,52.36110982,146.9828551,0.726287355,0.473868545,1.244255317,0.148960495,0.094470499,0.233699403,19.26362759,18.20125536,20.32436446,54.91383979,17.931113,169.4304825,29.45585401,16.26657655,56.71168409,1.225764969,0.827820227,1.798897217,Galligan,
Chaetodon melannotus,Chaetodontidae,Butterflyfishes,Black-backed butterflyfish,NA,Yes,80,Predator,3.47,0.56,47.26,8.284620221,9.030507901,13.93455139,S3,Sessile Inverts,Sed,Day,Pair,Bottom,24.6,28.4,29.3,58.39156287,32.79923714,101.9584141,0.452562482,0.226914199,0.848498121,0.163949056,0.095118454,0.280107936,19.04512391,17.78526901,20.25222913,268.442227,68.84784169,983.484382,21.98248276,9.894602287,46.96648716,1.136532752,0.711256325,1.783454996,Galligan,
Chaetodon meyeri,Chaetodontidae,Butterflyfishes,Meyer's butterflyfish,Kitatange,Yes,80,Invert-Micro,3.34,0.61,15.01,8.284620221,9.030507901,13.93455139,S3,Sessile Inverts,Sed,Day,Pair,Bottom,25.4,28.4,29.3,83.95330428,50.91169539,137.7776152,0.76057116,0.502717178,1.254335111,0.140206363,0.090432723,0.213532371,19.10539098,18.04606932,20.14256443,45.70749374,15.09332496,140.2270282,29.94798821,16.92158685,55.09096552,1.293589186,0.884259946,1.875586498,Galligan,
Chaetodon nigropunctatus,Chaetodontidae,Butterflyfishes,Black spotted butterflyfish,Kitatange,Yes,80,Predator,3.6,0.5,11.53,8.284620221,9.030507901,13.93455139,S2,Sessile Inverts,Sed,Day,Pair,Bottom,25.2,27.4,29.2,116.8542736,66.81761535,207.53075,0.850612317,0.541154399,1.515769511,0.155832376,0.093865176,0.256423457,19.21675306,18.11787997,20.3165381,53.34815199,16.98490369,172.259484,28.00632179,14.56678508,56.2939018,1.367872895,0.909593781,2.040779457,Galligan,
Chaetodon selene,Chaetodontidae,Butterflyfishes,Yellow-dotted butterflyfish,Kitatange,Yes,80,Invert-Micro,2.72,0.24,12.47,8.284620221,9.030507901,13.93455139,S3,Mobile Inverts,Sed,Day,Pair,Bottom,24.7,27.8,29,95.4570449,57.16840606,162.6830027,0.895658502,0.586098121,1.437060281,0.132454026,0.083113925,0.206867597,18.85311745,17.76755583,19.93550921,35.07445585,11.08920025,116.5546466,29.43933613,16.2530998,55.96097571,1.496208339,1.005786451,2.199991585,Galligan,
